TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU,AR,CNT,FA,ID,MS
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
TID_NEWS_RED_TITLE,Clash-A-Rama! The Series,Clash-A-Rama! La série,Clash-A-Rama! Die Serie,Clash-A-Rama!,Clash-A-Rama!,Clash-A-Rama!,Clash-A-Rama! Serien,Clash-A-Rama!,Clash-A-Rama! Serisi,Clash-A-Rama! シリーズ,Clash-A-Rama！第一季,Clash-A-Rama! 시리즈,Сериал Clash-A-Rama!,Clash-A-Rama! The Series,Clash-A-Rama! ,سریال Clash-A-Rama!,Serial Clash-A-Rama!,Siri Clash-A-Rama!
TID_NEWS_RED_TEXT,"The season has ended, but the fun doesn't have to. Watch the full season of Clash-A-Rama! The Series now!","La saison se termine, mais vous n’avez pas fini de vous amuser. Regardez la saison entière de Clash-A-Rama! maintenant !","Die Staffel ist zu Ende, aber der Spaß geht weiter. Sieh dir jetzt die ganze Staffel von „Clash-A-Rama! Die Serie“ an!","La primera temporada ya ha terminado, pero eso no quiere decir que se acabe la diversión. ¡Vuelve a disfrutar de la temporada completa de Clash-A-Rama!","La prima stagione si è conclusa, ma non è un buon motivo per smettere di ridere: guarda di nuovo i tuoi episodi preferiti di Clash-A-Rama!","Het eerste seizoen is helaas afgelopen, maar niet getreurd. Herbeleef de avonturen van je favoriete Clash-personages en bekijk nu het volledige eerste seizoen van Clash-A-Rama!","Sesongen er over, men moroa tar ikke slutt likevel. Se hele sesongen av Clash-A-Rama! Serien nå!","A temporada acabou, mas a diversão sempre pode continuar! Aproveite para assistir à temporada completa de Clash-A-Rama!",Sezon bitti ama eğlence daha bitmedi. Clash-A-Rama! Serisinin tüm sezonunu şimdi izleyin!,シーズンは終了しましたが、楽しさは終わりません！ Clash-A-Rama!シリーズのシーズンを最初から一気に観ちゃいましょう！,本季虽已结束，但欢乐仍将继续！现在，一起来回顾《Clash-A-Rama! 》动画系列第一季全集吧！,"시즌 1은 끝나지만, 재미까지 끝날 필요는 없죠. Clash-A-Rama!의 전체 시리즈를 지금 바로 확인하세요!","Сезон окончился, но это не повод грустить. Смотрите все серии Clash-A-Rama!",انتهى الموسم لكن هذا لا يعني انتهاء المرح. شاهدوا كل حلقات موسم Clash-A-Rama! The Series الآن!,本季雖已結束，但歡樂仍將繼續！現在，一起來回顧《Clash-A-Rama!》動畫系列第一季全集吧！,با اینکه فصل تمام شده، ولی قرار نیست شادی و سرگرمی هم متوقف شود. هم‌اکنون، می‌توانید همه‌ی قسمت‌های سریال Clash-A-Rama! را تماشا کنید!,"Season ini sudah berakhir, tetapi keseruannya belum habis. Tonton season lengkap Serial Clash-A-Rama! sekarang!","Musim ini telah berakhir, tetapi keseronokan tidak perlu berakhir. Tonton musim penuh Siri Clash-A-Rama! sekarang!"
TID_DIAMOND_BUNDLE_HERO_INFO,Season 1,Saison 1,Staffel 1,Primera temporada,Stagione 1,Seizoen 1,Sesong 1,1a. Temporada,1. Sezon,シーズン1,点击观看,시즌 1,Сезон 1,الموسم 1,第一季,فصل ۱,Season 1,Musim 1
TID_USE_TROOP_EVENT_ACHIEVEMENT_DESC_PLURAL,Event Challenge: Win multiplayer battles!\n<cffec78>• Must use <usecount> <unit> troops</c>,Défi d'événement : remportez des combats multijoueur !\n<cffec78>• Vous devez utiliser <usecount> <unit>s</c>,Herausforderungsereignis: Gewinne Mehrspieler-Kämpfe!\n<cffec78>• <usecount> <unit> müssen benutzt werden</c>,Evento de desafío: ¡Gana batallas multijugador!\n<cffec78>• Debes usar <usecount> tropas de <unit>.</c>,Evento sfida: vinci battaglie multigiocatore!\n<cffec78>• Devi usare <usecount> unità di <unit></c>,Evenementuitdaging: win multiplayergevechten!\n<cffec78>• Gebruik: <usecount>x <unit></c>,Hendelsesutfordring: Vinn flerspillerkamper!\n<cffec78>• Du må bruke <usecount>x <unit></c>,Desafio: Vença batalhas multijogador!\n<cffec78>• É preciso usar <usecount> unidades de <unit> </c>.,Etkinlik Meydan Okuması: Çok oyunculu savaşları kazan!\n<cffec78>• <usecount> <unit> kullanılmalı</c>,イベントチャレンジ： マルチプレイ戦闘で勝利しましょう！\n<cffec78>• <usecount><unit>を使う必要があります</c>,活动挑战：在联机模式中获胜！\n<cffec78>• 必须使用<usecount>个<unit></c>,이벤트 도전: 멀티플레이 전투에서 승리하세요!\n<cffec78>• 필수 사용: <unit> x <usecount></c>,Испытание: победите в многопользовательском режиме!\n<cffec78>• Нужно использовать: 1 <usecount> <unit>с.</c>,حدث التحدي: اظفر بمعارك متعددة اللاعبين!\n<cffec78>• يجب استخدام <usecount> وحدات <unit> </c>,活動挑戰：在連線模式中獲勝！\n<cffec78>• 必須使用<usecount>個<unit></c>,چالش رویداد: نبرد چندنفره را ببرید!\n<cffec78>• باید از <usecount><unit>ها استفاده کنید</c>,Tantangan Acara: Menangi pertempuran Multipemain!\n<cffec78>• Harus memakai <usecount> <unit></c>,Cabaran Acara: Menangi pertempuran berbilang pemain!\n<cffec78>• Mesti menggunakan <usecount> <unit></c>
TID_USE_TROOP_EVENT_ACHIEVEMENT_DESC,Event Challenge: Win multiplayer battles!\n<cffec78>• Must use 1 <unit></c>,Défi d'événement : remportez des combats multijoueur !\n<cffec78>• Vous devez utiliser 1 <unit></c>,Herausforderungsereignis: Gewinne Mehrspielerkämpfe!\n<cffec78>• 1 <unit> muss benutzt werden</c>,Evento de desafío: ¡Gana batallas multijugador!\n<cffec78>• Debes usar 1 <unit>.</c>,Evento sfida: vinci battaglie multigiocatore!\n<cffec78>• Devi usare 1 <unit></c>,Evenementuitdaging: win multiplayergevechten!\n<cffec78>• Gebruik van 1 <unit> verplicht</c>,Hendelsesutfordring: Vinn flerspillerkamper!\n<cffec78>• Du må bruke 1 <unit></c>,Evento de Desafio: Vença batalhas multijogador!\n<cffec78>• É preciso usar 1 <unit></c>.,Etkinlik Meydan Okuması: Çok oyunculu savaşları kazan!\n<cffec78>• 1 <unit> kullanılmalı</c>,イベントチャレンジ： マルチプレイ戦闘で勝利しましょう！\n<cffec78>• 1<unit>を使用する必要があります</c>,活动挑战：在联机模式中获胜！\n<cffec78>• 必须使用1个<unit></c>,이벤트 도전: 멀티플레이 전투에서 승리하세요!\n<cffec78>• 필수 사용: <unit> x 1</c>,Испытание: победите в многопользовательском режиме!\n<cffec78>• Нужно использовать: 1 <unit></c>,حدث التحدي: اظفر بمعارك متعددة اللاعبين!\n<cffec78>• يجب استخدام <unit> واحدة</c>,活動挑戰：在連線模式中獲勝！\n<cffec78>• 必須使用1個<unit></c>,رویداد چالش: نبردهای چند نفره را ببرید!\n<cffec78>• باید از 1 <unit></c> استفاده کنید,Tantangan Acara: Menangi pertempuran Multipemain!\n<cffec78>• Harus memakai 1 <unit></c>,Cabaran Acara: Menangi pertempuran berbilang pemain!\n<cffec78>• Mesti menggunakan 1 <unit></c>
TID_WATCH,Watch Video,Regarder la vidéo,Video ansehen,Ver vídeo,Guarda video,Video bekijken,Se video,Assistir ao vídeo,Videoyu İzle,今すぐチェック,点击观看,동영상 보기,Смотреть ролик,مشاهدة الفيديو,點擊觀看,تماشای ویدیو,Tonton Video,Tonton Video
TID_EVENT_ARMYSPELL_BOOST_INFO,Get full armies 4x faster!\n\nBoost the following for 1 Gem each:\n• Heroes\n• Troop Training\n• Spell Brewing,Obtenez une armée complète 4x plus vite !\n\nAméliorez les éléments suivants pour 1 gemme chacun :\n• Héros\n• Formation des troupes\n• Concoction des sorts,4-mal schneller vollständige Armeen!\n\nBeschleunige Folgendes für jeweils nur 1 Juwel:\n• Helden\n• Truppenausbildung\n• Brauen von Zaubern,¡Completa un ejército 4 veces más rápido!\n\nAcelera todo esto por 1 gema:\n• Héroes\n•Entrenamientos\n• Elaboración de hechizos,Ottieni eserciti completi 4 volte più in fretta!\n\nPotenzia quanto segue al costo di 1 gemma ciascuno:\n• eroi\n• addestramento truppe\n• preparazione incantesimi,Krijg 4x sneller volledige legers!\n\nGeef de volgende onderdelen een boost voor 1 edelsteen elk:\n• Helden\n• Troepentraining\n• Spreuken brouwen,Få komplette hærer fire ganger så raskt!\n\nForsterk disse for 1 juvel hver:\n• Helter\n• Troppetrening\n• Formelbrygging,Exércitos completos 4x mais rápido!\n\nAcelere os itens abaixo por 1 gema cada:\n• Heróis\n• Treino de tropas\n• Produção de feitiços,Tam orduları 4 kat daha hızlı al!\n\nHer biri için 1 Taş vererek aşağıdakileri hızlandır:\n• Kahramanlar\n• Birlik Eğitimi\n• Büyü Üretimi,指定ユニット全員の速度を4倍にします！\n\n以下のユニットを各1エメラルドでブーストしましょう：\n• ヒーロー\n• ユニット訓練\n• 呪文の生成,军队训练加速4倍！\n分别使用1宝石加速：\n• 单个英雄\n• 部队训练\n• 法术配制,최대 전력을 4배 빨리 갖추세요!\n\n보석 1개로 가속:\n• 영웅\n• 유닛 훈련\n• 마법 제조,Сделайте все войска в 4 раза быстрее!\n\nУскорьте каждое за 1 кристалл:\n• Герои\n• Тренировка войск\n• Приготовление заклинаний,فز بجيوش كاملة بـ 4 أضعاف السرعة!\nسرّع ما يلي مقابل جوهرة واحدة لكل منها:\n• الأبطال\n• تدريب القوات\n• تطوير السحر,軍隊訓練加速4倍！\n分別使用1寶石加速：\n• 單個英雄\n• 部隊訓練\n• 法術配製,4 برابر سریع‌تر ارتش کامل بسازید!\nاین موارد را تنها با 1 جواهر تسریع کنید:\n• قهرمانان\n• آموزش نیروها\n• ساخت طلسم,Dapatkan tentara lengkap 4x lebih cepat!\n\nLesatkan area berikut ini masing-masing dengan 1 Permata:\n• Pahlawan\n• Latihan Peleton\n• Peracikan Mantra,Dapatkan tentera penuh 4x lebih cepat!\n\nGalakkan item berikut dengan 1 Permata masing-masing:\n• Wira\n• Latihan Askar\n• Membru Sihir
TID_NEWS_IOS7_TITLE,End of support for devices running iOS 5 and 6,Fin de la prise en charges des versions d’iOS 5 et 6,Kein Support mehr für Geräte mit iOS-Version 5 und 6,Fin del soporte técnico para los dispositivos con iOS 5 y 6,Interruzione del supporto per i dispositivi con iOS 5 e 6,Geen ondersteuning meer voor apparaten die draaien op iOS-versie 5 of 6,Støtte for enheter med iOS 5 og 6 opphører,Fim da compatibilidade com iOS 5 e 6,iOS 5 ve 6 kullanan cihazlara verilen destek sona eriyor,iOS 5および6のサポート終了,iOS 5和iOS 6版本的设备将无法继续游戏,iOS 5/6 버전 기기 지원 종료 안내,"Заканчивается поддержка устройств, работающих с iOS 5 и 6",انتهاء دعم الأجهزة التي تعمل بإصداري iOS 5 و6,iOS 5與iOS 6版本的裝置將無法繼續進行遊戲,اتمام پشتیبانی برای دستگاههای تحت سیستم عامل iOS 5 و6,Akhir dukungan untuk perangkat yang menjalankan iOS 5 dan 6,Penamatan sokongan untuk peranti dengan iOS 5 dan 6
TID_NEWS_IOS7_TEXT,"The next Clash of SL update will remove support for all Apple devices running iOS versions 5 and 6. In order to keep playing Clash of SL, please update to iOS 7 or higher. For more information, tap below!","La prochaine mise à jour de Clash of SL mettra fin à la prise en charge des appareils Apple sous iOS 5 et 6. Pour continuer à jouer à Clash of SL, veuillez effectuer la mise à jour vers iOS 7 ou une version plus récente. Pour plus d'informations, consultez :","Ab dem nächsten Clash of SL-Update werden Apple-Geräte mit iOS 5 und 6 nicht mehr unterstützt. Bitte aktualisiere auf iOS 7 oder höher, um Clash of SL weiterhin spielen zu können. Tippe unten, um weitere Informationen zu erhalten!","La próxima actualización de Clash of SL no ofrecerá soporte técnico para los dispositivos con las versiones de iOS 5 y 6. Para seguir jugando, actualiza a iOS 7 o a una versión superior.Para más información, toca el enlace de abajo.","Con il prossimo aggiornamento di Clash of SL verrà interrotto il supporto ai dispositivi Apple con versioni di iOS 5 o 6. Per continuare a giocare a Clash of SL, la preghiamo di effettuare l’aggiornamento ad iOS 7 o versioni successive. Per ulteriori informazioni, tocchi qui sotto!",Bij de volgende Clash of SL-update beëindigen we de ondersteuning voor alle Apple-apparaten die draaien op iOS-versies 5 en 6. Update je apparaat naar iOS-versie 7 of hoger om Clash of SL te blijven spelen. Tik hieronder voor meer informatie.,Den neste oppdateringen av Clash of SL støtter ikke Apple-enheter med iOS-versjonene 5 og 6. For å fortsette å spille Clash of SL må du oppdatere til iOS 7 eller nyere. Trykk under hvis du vil ha mer informasjon!,"A partir da próxima atualização do Clash of SL, não será mais possível jogar em dispositivos com iOS 5 e 6. Para continuar jogando Clash of SL, atualize para o iOS7 ou mais recente. Para mais informações, toque abaixo.",Bir sonraki Clash of SL güncellemesiyle iOS 5 ve 6 kullanan Apple cihazlarına verilen destek kaldırılacak. Clash of SL oynamaya devam etmek için lütfen iOS 7’ye veya sonraki sürümlere güncelleyin. Daha fazla bilgi için aşağıya dokunun!,クラッシュ・オブ・クランの次回のアップデートにおいて、iOS 5および6を利用しているすべてのデバイスへのサポートを終了いたします。クラッシュ・オブ・クランのプレイを続けるには、iOS 7以上にアップデートするようお願いします。 \n詳細は以下をタップしてご確認ください。,在下一次更新后，《部落冲突》将无法继续在iOS 5和iOS6版本的苹果设备上运行。为了能继续在您的设备上运行《部落冲突》，请尽快将您的设备系统版本升级至iOS 7或以上。 更多详情，请点击下方！,다음 클래시 오브 클랜 업데이트 이후부터 iOS 5/6에서 구동되는 모든 애플 기기의 지원이 종료됩니다. 클래시 오브 클랜을 계속 플레이하려면 iOS 7 또는 그 이상으로 업데이트해야 합니다. 더 많은 정보를 보려면 아래를 눌러주세요!,"Начиная со следующего обновления Clash of SL мы прекращаем поддержку всех устройств Apple с iOS версий 5 и 6. Для того, чтобы продолжать играть в Clash of SL, обновите свою iOS до версии 7 или выше. Более подробную информацию можно узнать коснувшись кнопки ниже.",سيلغي تحديث Clash of SL التالي الدعم لجميع أجهزة Apple التي تعمل بإصداري iOS 5 و6. وللاستمرار في لعب Clash of SL، يُرجى التحديث إلى إصدار iOS 7 أو أعلى.لمزيد من المعلومات، انقر أدناه!,下次更新後，《部落衝突》將無法繼續在iOS 5與iOS 6版本的蘋果裝置上運行。為了讓您的裝置能繼續運行《部落衝突》，請您儘快將您的裝置系統版本升級至iOS 7或以上。 更多詳情，請點擊下方！,بهروزرسانی بعدی جنگ قبایل، پشتیبانی برای همه دستگاههای Apple تحت سیستم عامل iOS نسخه 5 و 6 را حذف خواهد کرد. برای اینکه بازی جنگ قبایل را ادامه دهید، لطفاً به iOS 7 یا بالاتر بهروزرسانی کنید. برای اطلاعات بیشتر، در زیر ضربه بزنید.,"Pembaruan Clash of SL berikutnya akan membuang dukungan untuk semua perangkat Apple yang menjalankan iOS versi 5 dan 6. Untuk terus bermain Clash of SL, tingkatkan ke iOS 7 ke atas. Untuk informasi selengkapnya, ketuk di bawah ini!","Kemas kini Clash of SL seterusnya akan menamatkan sokongan untuk semua peranti Apple yang menggunakan iOS versi 5 dan 6. Untuk terus bermain Clash of SL, sila kemas kini ke iOS 7 atau lebih terkini. Untuk maklumat lanjut, ketik di bawah!"
TID_NEWS_IOS7_BUTTON,More Info,Plus d'infos,Mehr Infos,Más información,Altre info,Meer info,Mer info,Mais informações,Daha Fazla Bilgi,詳しく,更多信息,추가 정보,Информация,مزيد من المعلومات,詳細資訊,اطلاعات بیشتر,Info-Selengkapnya,Maklumat Lanjut
