TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU,AR,CNT,FA,ID,MS
TID_YOU_HAVE_ALREADY_CLAIMED_THE_GIFT,You have already claimed this gift!,Cadeau déjà récupéré !,Geschenk wurde bereits abgeholt!,¡Ya has reclamado el regalo!,Il regalo è già stato riscosso!,Cadeau is al opgehaald!,Gaven er allerede hentet!,O presente já foi resgatado!,Hediye önceden alındı!,ギフトは受け取り済みです！,已经领取过该礼物了！,이미 선물을 받았습니다!,Подарок уже получен!,لقد تمت المطالبة بالهدية بالفعل!,已經領取過該禮物了！,هدیه قبلاً مطالبه شده است!,Hadiah sudah diklaim!,Hadiah sudah dituntut!
TID_CNY_PACK,Lunar New Year Pack,Pack du nouvel an lunaire,Mond-Neujahrspaket,Lote de Año Nuevo Lunar,Pacchetto Capodanno lunare,Lunair-nieuwjaarspakket,Månenyttår-pakke,Pacote de Ano-Novo Lunar,Yeni Ay Yılı Paketi,旧正月パック,新春礼包,설날 팩,Пакет лунного Нового года,حزمة العام القمري الجديد,新春特惠包,بسته سال نوی قمری,Paket Imlek,Pek Tahun Baru Cina
TID_LOCAL_NOTIFICATION_EVENT_HERO_BOOST,"Chief, a 1-Gem Hero Boost event has started!","Chef, un événement boost de héros à 1 gemme a commencé !","Häuptling, ein Ereignis mit Heldenschüben für 1 Juwel hat begonnen!",¡Un evento de aceleración de héroes por 1 gema ha comenzado!,"Capo, è iniziato un evento potenzia eroi con 1 gemma!","Chief, er is een heldenboostevenement voor 1 edelsteen gestart!","Høvding, du kan nå få en helteforsterkning til 1 juvel!","Chefe, começou um evento: aceleração de heróis por 1 gema!","Şef, bir 1 Taş Kahraman Desteği etkinliği başladı!",チーフ、1エメラルドのヒーローブーストイベントが始まりました！,首领，1宝石加速英雄恢复的活动开始啦！,"대장님, 보석 1개 영웅 가속 이벤트가 시작됐습니다!","Вождь, появилась возможность ускорить исцеление героя за 1 кристалл!",أيها الزعيم، بدأ حدث تعزيز البطل بجوهرة واحدة!,首領，1寶石加速英雄恢復的活動開始啦！,رئیس! یک رویداد تسریع قهرمان با 1 جواهر آغاز شده‌است!,"Chief, acara Pelesat Pahlawan 1 Permata telah dimulai!","Ketua, acara Galakan Wira 1 Permata sudah bermula!"
TID_EVENT_ARMY,GoWiWi Event,Événement GoWiWi,GoWiWi-Ereignis,Evento GoWiWi,Evento GoWiWi,GoWiWi-evenement,GoWiWi-hendelse,Evento GoWiWi,GoWiWi Etkinliği,GoWiWiイベント,石法巫活动,골위위 이벤트,Событие GoWiWi,حدث \qغوساسا\q,石法巫活動,رویداد GoWiWi,Acara GoWiWi,Acara GoWiWi
TID_EVENT_ARMY_INFO,Destroy villages with the classic Golem-Wizard-Witch army! Each unit is now 50% cheaper!,Détruisez des villages avec l'armée classique golem-sorcier-sorcière ! Chaque unité coûte actuellement 50 % de moins !,"Zerstöre Dörfer mit der klassischen Armee aus Golems, Magiern und Hexen! Jede Einheit kostet jetzt 50 % weniger!","Destruye aldeas con el clásico ejército de brujas, magos y gólems. ¡Cada unidad tiene un 50 % de descuento!","Distruggi villaggi con la classica strategia GoWiWi: un esercito di golem, stregoni e streghe! 50% di sconto su ogni unità!","Vernietig dorpen met de klassieke GoWiWi-strategie: golem, tovenaar en heks! Elke eenheid is nu 50% goedkoper!",Legg landsbyer i ruiner med den klassiske heks-trollmann-golem-armeen! Hver enhet er nå 50 % billigere!,Destrua as vilas com a combinação clássica Golem-Mago-Bruxa! Cada unidade com 50% de desconto!,Klasik Golem-Büyücü-Cadı ordusuyla köyleri yok et! Bu birimler şu anda %50 indirimli!,定番のゴーレム・ウィザード・ネクロマンサー編成で、村々を破壊して回りましょう！ 現在、それぞれのユニットコストが50％もお安くなっています！,用经典石法女巫流摧毁敌军村庄！现在，戈仑石人、法师和女巫的训练费用减少50%！,골렘-마법사-마녀'로 구성된 클래식한 부대를 조직해 마을을 파괴하세요! 각 유닛 비용이 50% 낮아집니다!,Соберите классическую армию — големы + колдуны + ведьмы — и разрушайте вражеские деревни! Каждый воин сейчас стоит на 50 % дешевле!,دمّر القرى بجيش تقليدي يتكون من قوات الغولم والسحرة والساحرات! كل وحدة أرخص الآن بنسبة 50%!,用經典石法女巫流摧毀敵軍村莊！現在，戈倫石人、法師和女巫的訓練費用減少50%！,با استراتژی کلاسیک گولم-جادوگر-ساحره، دهکده‌ها را تخریب کنید! هر واحد اکنون 50٪ ارزان‌تر شده است!,Hancurkan desa dengan tentara Golem-Penyihir-Nenek Sihir! Setiap unit didiskon 50%!,Hapuskan kampung menggunakan strategi klasik dengan Golem disokong oleh kedua-dua Ahli Sihir. Setiap unit kini 50% lebih murah!
TID_EVENT_SPELL_INFO,Brew <troop>s at a discount!,Concoctez <troop> à prix réduit !,Braue <troop> günstiger!,¡Elabora hechizos de <troop> con un descuento!,Prepara l'incantesimo <troop> a un costo scontato!,Brouw met korting: <troop>!,Brygg formelen <troop> billigere!,Produza <troop> com desconto!,<troop> büyülerini indirimli üret!,<troop>を格安で生成しましょう！,配制<troop>可享受折扣！,<troop>을 할인된 가격으로 제조하세요!,Готовьте (<troop>) со скидкой!,تحضير قوات <troop> مقابل خصم!,配製<troop>可享受折扣！,<troop>ها را با تخفیف بسازید!,Racik <troop> dengan harga diskon!,Bru <troop> pada harga terdiskaun!
TID_CHAT_INFO,"To report inappropriate behavior, tap on the offending message and choose \qReport\q.","Pour signaler tout comportement indécent, touchez le message inapproprié et sélectionnez \qSignaler\q.","Um unangemessenes Verhalten zu melden, tippe auf die anstößige Nachricht und wähle \qMelden\q.","Para informar de un comportamiento inadecuado, toca el mensaje ofensivo y selecciona \qDenunciar\q.","Per riferire un comportamento inappropriato, tocca il messaggio offensivo e seleziona \qSegnala\q.","Als je ongepast gedrag wilt rapporteren, tik je op het ongepaste bericht en kies je Rapporteren.","Hvis du vil rapportere upassende oppførsel, trykker du på den støtende meldingen og velger \qRapporter\q.","Para reportar comportamento inapropriado, toque na mensagem ofensiva e selecione \qDenunciar\q.",Uygunsuz bir davranışı bildirmek için hakaret içeren mesaja dokun ve \qBildir\q seçeneğini seç.,問題のある言動を報告するには、\n対象となるメッセージをタップして\n「報告する」を選択してください。,,부적절한 행위를 신고하려면 불쾌한 내용을 탭한 후 \q신고\q를 누르세요.,"Чтобы сообщить о недопустимом поведении, коснитесь оскорбительного сообщения и выберите \qСообщить\q.",للإبلاغ عن سلوك غير لائق، انقر على الرسالة المهينة واختر \qإبلاغ\q.,,برای گزارش رفتار نامناسب، روی پیام توهین‌آمیز ضربه بزنید و \qگزارش\q را انتخاب کنید.,"Untuk melaporkan perilaku tidak pantas, ketuk pesan yang tidak pantas dan pilih \qLaporkan\q.","Untuk melaporkan kelakuan tidak wajar, ketik mesej kesalahan dan pilih \qLaporkan\q."
TID_CHAT_WELCOME,"Welcome to the global chat.\n\nPlease be respectful and polite towards others. Offensive behavior is not tolerated.\n\nDo not share any private information (email, phone number, address, passwords)!","Bienvenue sur le chat global.\n\nVeuillez vous montrer respectueux des autres joueurs. Les comportements déplacés ne sont pas tolérés.\n\nNe partagez aucune information personnelle (e-mail, numéro de téléphone, adresse, mots de passe) !","Willkommen im globalen Chat!\n\nBitte sei anderen gegenüber respektvoll und höflich. Beleidigendes Verhalten wird nicht toleriert.\n\nGib keine privaten Informationen weiter (E-Mail-Adresse, Telefonnummer, Adresse, Passwörter)!","¡Te damos la bienvenida al chat global!\n\nPor favor, trata a los demás con respeto y educación. No se tolerará ningún comportamiento ofensivo.\n\nNo compartas con nadie tu información personal (correo, teléfono, dirección, contraseñas).","Ti diamo il benvenuto alla chat globale.\n\nTi preghiamo di rispettare gli altri. Non saranno tollerati comportamenti offensivi.\n\nNon condividere le informazioni private (e-mail, numero di telefono, indirizzo, password)!","Welkom bij de wereldwijde chat.\n\nToon respect en wees beleefd tegen elkaar. Aanstootgevend gedrag wordt niet getolereerd.\n\nDeel geen privégegevens (e-mailadres, telefoonnummer, adres, wachtwoorden)!","Velkommen til den globale chatten.\n\nVis respekt for andre og vær høflig. Støtende oppførsel tolereres ikke.\n\nIkke del personlig informasjon (e-post, telefonnummer, adresse, passord)!","Bem-vindo ao chat global.\n\nTrate os outros com educação e respeito. Comportamento ofensivo não será tolerado.\n\nNão compartilhe dados confidenciais como e-mail, número de telefone, endereço e senhas!","Küresel sohbete hoş geldin.\n\nLütfen diğerlerine karşı saygılı ve nazik ol. Saldırgan davranışlara tolerans gösterilmeyecektir.\n\nHiçbir özel bilgini (e-posta, telefon numarası, adres, şifre) paylaşma!",ここは全プレイヤーがチャットできるグローバルチャットです。\n\n礼儀正しくチャットしましょう。問題のある言動は厳しく処罰されます。\n\nメールアドレス、電話番号、住所、パスワードなどの個人情報をチャットで発言しないでください！,由于技术原因，我们需暂时关闭公众聊天功能！敬请首领谅解！,"전체 채팅에 오신 것을 환영합니다.\n\n다른 사용자를 존중해 주세요. 불쾌한 언행은 처벌될 수 있습니다.\n\n개인 정보(이메일, 전화번호, 주소, 암호)는 알려주지 마세요!","Добро пожаловать в глобальный чат.\n\nПожалуйста, относитесь к другим с уважением. Оскорбительное поведение недопустимо.\n\nНикому не сообщайте свою личную информацию (эл. почту, номер телефона, адрес, пароли)!",مرحبًا بك في المحادثة العالمية.\n\nمن فضلك تعامل باحترام وبتهذيب مع الآخرين. السلوك المهين غير مقبول.\n\nلا تشارك أي معلومات شخصية (بريد إلكتروني، رقم هاتف، عنوان، كلمات سر)!,由於技術原因，我們需暫時關閉公共聊天功能！敬請首領諒解！,به گپ جهانی خوش آمدید.\n\nلطفاً در برابر دیگران، محترمانه و مؤدبانه رفتار کنید. رفتار توهین‌آمیز قابل تحمل نیست.\n\nاطلاعات خصوصی (ایمیل، شماره تلفن، آدرس، گذرواژه‌ها) را به اشتراک نگذارید!,"Selamat datang di obrolan global.\n\nHarap saling menghormati dan sopan terhadap orang lain. Perilaku tidak pantas tak akan ditoleransi.\n\nJangan berbagi informasi pribadi (email, nomor telepon, alamat, kata sandi)!","Selamat datang ke bual global.\n\nSila hormat dan bersopan antara satu sama lain. Kelakuan tidak menyenangkan tidak boleh diterima.\n\nJangan kongsikan sebarang maklumat persendirian (e-mel, nombor telefon, alamat, kata laluan)!"
TID_LOCAL_NOTIFICATION_EVENT_ARMY_DISCOUNT,"Chief, a special Army Event has started!","Chef, un événement spécial d'armée a commencé !","Häuptling, ein besonderes Armee-Ereignis hat begonnen!",¡Un evento especial de ejército ha comenzado!,"Capo, è iniziato un evento ESERCITI!","Chief, er is een speciaal legerevenement gestart!","Høvding, en helt spesiell ARMÉ-hendelse har startet!","Chefe, começou um evento de EXÉRCITO especial!","Şef, özel bir ORDU etkinliği başladı!",チーフ、スペシャルアーミーイベントが始まりました！,首领，特殊兵种活动开始啦！,"대장님, 특별 군대 이벤트가 시작됐습니다!","Вождь, особое событие АРМИЙ началось!",أيها الزعيم، لقد بدأ حدث جديد خاص بالجيش!,首領，特殊兵種活動開始啦！,رئیس! یک رویداد ویژه ارتش آغاز شده است!,"Chief, acara TENTARA spesial telah dimulai!","Ketua, acara askar khas sudah bermula!"
TID_NEWS_MARCH_2017_UPDATE_TITLE,Balancing Update!,Mise à jour d'équilibrage !,Update zur Änderung der Spielbalance!,¡Actualización de equilibrio!,Aggiornamento sul bilanciamento!,Balansaanpassingen!,Balanseoppdatering!,Atualização para equilibrar o jogo,Dengeleme Güncellemesi!,バランス調整を行いました！,平衡性调整！,밸런스 업데이트!,Обновление баланса!,تحديث خاص بالتوازن!,平衡性調整！,به‌روزرسانی تعدیلات!,Pembaruan Penyeimbangan!,Kemas Kini Keseimbangan!
TID_NEWS_MARCH_2017_UPDATE_TEXT,"• Air Defense level 9 added to Town Hall 11\n• Wall level 12 limit increased by 25\n• Stat increases to Hog Rider, Miner, Witch, Dragon and P.E.K.K.A","• Défense anti-aérienne niveau 9 ajoutée à l'hôtel de ville de niveau 11\n• Limite des remparts de niveau 12 améliorée de 25\n• Amélioration du chevaucheur de cochon, du mineur, de la sorcière, du dragon et du P.E.K.K.A","• Luftabwehr Level 9 wurde Rathaus-Level 11 hinzugefügt\n• Mauer Level 12 um 25 Stück erhöht\n• Werteverbesserungen für Schweinereiter, Tunnelgräber, Hexe, Drache und P.E.K.K.A.","• Cohetes de defensa de nivel 9 disponibles con un ayuntamiento de nivel 11.\n• 25 nuevos muros de nivel 12.\n• Mejora de las estadísticas del montapuercos, el minero, la bruja, el dragón y el P.E.K.K.A.","• Difesa aerea di livello 9 aggiunta al municipio 11\n• Limite delle mura di livello 12 aumentato di 25 unità\n• Incremento statistiche per domatore di cinghiali, minatore, strega, drago e P.E.K.K.A","• Luchtafweer level 9 toegevoegd aan stadhuislevel 11\n• Limiet voor muur van level 12 verhoogd met 25\n• Statistiekverhogingen voor de varkensruiter, de mijnwerker, de heks, de draak en P.E.K.K.A.","• Luftforsvar på nivå 9 lagt til rådhus 11\n• Grensen for murnivå 12 økt med 25\n• Villsvinrytter, graver, heks, drage og P.E.K.K.A har fått verdiene sine økt","• Defesa aérea de nível 9 adicionada ao Centro da Vila de nível 11.\n• Aumento do limite de muro de nível 12 (+25).\n• Melhorias ao Corredor, Mineiro, Bruxa, Dragão e P.E.K.K.A.","• 11. Seviye Belediye Binasına 9. Seviye Hava Savunması eklendi\n• 12. Seviye Duvar limiti 25 artırıldı\n• Yaban Domuzu Binicisi, Madenci, Cadı, Ejderha ve P.E.K.K.A birliklerinin bazı özellikleri yükseltildi",• タウンホールレベル11にレベル9の対空砲を追加\n• レベル12の壁の最大設置数を25増加\n• ホグライダー、ディガー、ネクロマンサー、ドラゴン、P.E.K.K.Aの能力を強化,• 11级大本营可解锁9级防空火箭\n• 12级城墙上限增加25块\n•增强了野猪骑士、掘地矿工、女巫、飞龙和皮卡超人,"• 마을 회관 11에 대공포 레벨 9 추가\n• 레벨 12 장벽 개수 한도가 25개 증가\n• 호그 라이더, 광부, 마녀, 드래곤, P.E.K.K.A 능력치 상승","• Воздушная оборона 9-го уровня добавлена на 11-м уровне ратуши\n• К стене 12-го уровня добавлены 25 участков\n• Повышение статистики: всадник на кабане, шахтер, ведьма, дракон и П.Е.К.К.А.",• تمت إضافة دفاع جوي من المستوى 9 إلى قاعة المدينة 11\n• تمت زيادة حدود الجدار من المستوى 12 بمقدار 25\n• تمت زيادة الإحصائيات الخاصة براكب الخنزير وعامل المنجم والساحرة والتنين وبيكا,• 11級大本營可解鎖9級防空火箭\n• 12級城牆上限增加25塊\n•增強了野豬騎士、掘地礦工、女巫、飛龍和皮卡超人,• دفاع هوایی سطح 9 به تالار شهر 11 اضافه شد\n• محدودیت دیوار سطح 12 تا 25 عدد افزایش یافت\n• آمار مربوط به گراز سوار، معدنچی، ساحره، اژدها و P.E.K.K.A افزایش یافت.,"• Pertahanan Udara level 9 ditambahkan ke Balai Kota level  11\n• Batas Tembok level 12 bertambah 25\n• Statistik bertambah untuk Penunggang Babi, Penambang, Nenek Sihir, Naga, dan P.E.K.K.A","• Pertahanan Udara tahap 9 ditambah ke Dewan Bandar 11\n• Had Benteng tahap 12 ditingkatkan sebanyak 25\n• Statistik ditingkatkan bagi Penunggang Khinzir, Pelombong, Ahli Sihir, Naga dan P.E.K.K.A"
